vendor_zh,vendor_en,model_count,model_families
OpenAI,OpenAI,165,chatgpt-4o | chatgpt-image | codex | container | dall-e-2 | dall-e-3 | ft:gpt-3.5 | ft:gpt-4 | ft:gpt-4.1 | ft:gpt-4o | ft:o4 | gpt-3.5 | gpt-4 | gpt-4.1 | gpt-4o | gpt-4o-audio | gpt-4o-realtime | gpt-4o-search | gpt-4o-transcribe | gpt-4o-transcribe-diarize | gpt-4o-tts | gpt-5 | gpt-5-search-api | gpt-5.1 | gpt-5.2 | gpt-5.3 | gpt-5.4 | gpt-5.5 | gpt-5.6 | gpt-audio | gpt-audio-1.5 | gpt-image-1 | gpt-image-1.5 | gpt-image-2 | gpt-live-transcribe | gpt-realtime | gpt-realtime-1.5 | gpt-realtime-2 | gpt-realtime-2.1 | gpt-realtime-translate | gpt-realtime-whisper | gpt-transcribe | o1 | o3 | o3-deep-research | o4 | o4-deep-research | omni-moderation | sora-2 | sora-2-res | text-embedding-3 | text-embedding-ada | text-embedding-ada-v2 | text-moderation | tts-1 | whisper-1
Google,Google,79,chirp | chirp_3 | deep-research | deepseek-ocr-maas | gemini | gemini-1.5 | gemini-2.0 | gemini-2.0-image-generation | gemini-2.5 | gemini-2.5-computer-use | gemini-2.5-image | gemini-2.5-native-audio | gemini-2.5-tts | gemini-3 | gemini-3-image | gemini-3.1 | gemini-3.1-customtools | gemini-3.1-image | gemini-3.1-live | gemini-3.5 | gemini-3.6 | gemini-3.7 | gemini-embedding | gemini-embedding-2 | gemini-gemma-2-it | gemini-live-2.5-native-audio | gemini-omni | gemini-robotics-er-1.5 | gemini-robotics-er-1.6 | gemini-robotics-er-2 | gemini-robotics-er-2-streaming | gemma-3-it | grok-4.1 | grok-4.20 | imagen-3.0-generate | imagen-4.0-generate | learnlm-1.5 | lyria-3 | lyria-3-clip | medlm | mistral-ocr | search_api | veo-2.0-generate | veo-3.1-generate
Mistral AI,Mistral AI,64,codestral | codestral-embed | codestral-mamba | devstral | labs-devstral | labs-leanstral-1-5 | magistral | magistral-1-2 | ministral | ministral-3 | mistral | mistral-3 | mistral-3-1 | mistral-3-2 | mistral-3-5 | mistral-embed | mistral-moderation | mistral-ocr | mistral-ocr-4-0 | mistral-ocr-completion | mistral-tiny | open-codestral-mamba | open-mistral | open-mistral-nemo | open-mixtral-8x22b | open-mixtral-8x7b | pixtral | voxtral | voxtral-transcribe-realtime | voxtral-tts
xAI,xAI,43,grok | grok-2 | grok-2-vision | grok-3 | grok-4 | grok-4-1 | grok-4.20 | grok-4.20-multi-agent | grok-4.3 | grok-4.5 | grok-build-0.1 | grok-code | grok-code-1 | grok-vision
阿里云通义,Alibaba Qwen,36,qwen | qwen-image-2.0 | qwen3 | qwen3-a3b | qwen3-next-a3b | qwen3-vl | qwen3-vl-a22b | qwen3.5 | qwen3.7 | qwen3.8
Anthropic,Anthropic,26,claude-3 | claude-3-7 | claude-4 | claude-4-1 | claude-4-5 | claude-4-6 | claude-4-7 | claude-4-8 | claude-5 | claude-fable-5 | claude-mythos | claude-mythos-5
月之暗面,Moonshot AI,22,kimi | kimi-k2 | kimi-k2.5 | kimi-k2.6 | moonshot-v1 | moonshot-v1-auto | moonshot-v1-vision
Cohere,Cohere,15,command | command-nightly | embed-english-light-v2.0 | embed-english-light-v3.0 | embed-english-v2.0 | embed-english-v3.0 | embed-multilingual-light-v3.0 | embed-multilingual-v2.0 | embed-multilingual-v3.0 | embed-v4.0 | rerank-english-v2.0 | rerank-english-v3.0 | rerank-multilingual-v2.0 | rerank-multilingual-v3.0 | rerank-v3.5
MiniMax,MiniMax,10,MiniMax-M2 | MiniMax-M2.1 | MiniMax-M2.5 | MiniMax-M3 | speech | speech-2.6
字节豆包,ByteDance Doubao,9,doubao-embedding | doubao-embedding-text | doubao-seed-2-0 | doubao-seed-2-0-code
深度求索,DeepSeek,8,deepseek | deepseek-r1 | deepseek-v3 | deepseek-v3.2 | deepseek-v4
