vendor_zh,vendor_en,model_id,family,mode,max_input_tokens,max_output_tokens,has_input_price,has_cache_read,has_cache_write,source
阿里云通义,Alibaba Qwen,qwen-coder,qwen,chat,1000000,16384,True,False,False,https://www.alibabacloud.com/help/en/model-studio/models
阿里云通义,Alibaba Qwen,qwen-flash,qwen,chat,997952,32768,False,False,False,https://www.alibabacloud.com/help/en/model-studio/models
阿里云通义,Alibaba Qwen,qwen-flash-2025-07-28,qwen,chat,997952,32768,False,False,False,https://www.alibabacloud.com/help/en/model-studio/models
阿里云通义,Alibaba Qwen,qwen-image-2.0,qwen-image-2.0,image_generation,,,False,False,False,https://www.alibabacloud.com/help/en/model-studio/models
阿里云通义,Alibaba Qwen,qwen-image-2.0-pro,qwen-image-2.0,image_generation,,,False,False,False,https://www.alibabacloud.com/help/en/model-studio/models
阿里云通义,Alibaba Qwen,qwen-max,qwen,chat,30720,8192,True,False,False,https://www.alibabacloud.com/help/en/model-studio/models
阿里云通义,Alibaba Qwen,qwen-plus,qwen,chat,129024,16384,True,False,False,https://www.alibabacloud.com/help/en/model-studio/models
阿里云通义,Alibaba Qwen,qwen-plus-2025-01-25,qwen,chat,129024,8192,True,False,False,https://www.alibabacloud.com/help/en/model-studio/models
阿里云通义,Alibaba Qwen,qwen-plus-2025-04-28,qwen,chat,129024,16384,True,False,False,https://www.alibabacloud.com/help/en/model-studio/models
阿里云通义,Alibaba Qwen,qwen-plus-2025-07-14,qwen,chat,129024,16384,True,False,False,https://www.alibabacloud.com/help/en/model-studio/models
阿里云通义,Alibaba Qwen,qwen-plus-2025-07-28,qwen,chat,997952,32768,False,False,False,https://www.alibabacloud.com/help/en/model-studio/models
阿里云通义,Alibaba Qwen,qwen-plus-2025-09-11,qwen,chat,997952,32768,False,False,False,https://www.alibabacloud.com/help/en/model-studio/models
阿里云通义,Alibaba Qwen,qwen-plus-latest,qwen,chat,997952,32768,False,False,False,https://www.alibabacloud.com/help/en/model-studio/models
阿里云通义,Alibaba Qwen,qwen-turbo,qwen,chat,129024,16384,True,False,False,https://www.alibabacloud.com/help/en/model-studio/models
阿里云通义,Alibaba Qwen,qwen-turbo-2024-11-01,qwen,chat,1000000,8192,True,False,False,https://www.alibabacloud.com/help/en/model-studio/models
阿里云通义,Alibaba Qwen,qwen-turbo-2025-04-28,qwen,chat,1000000,16384,True,False,False,https://www.alibabacloud.com/help/en/model-studio/models
阿里云通义,Alibaba Qwen,qwen-turbo-latest,qwen,chat,1000000,16384,True,False,False,https://www.alibabacloud.com/help/en/model-studio/models
阿里云通义,Alibaba Qwen,qwen3-30b-a3b,qwen3-a3b,chat,129024,16384,False,False,False,https://www.alibabacloud.com/help/en/model-studio/models
阿里云通义,Alibaba Qwen,qwen3-coder-flash,qwen3,chat,997952,65536,False,False,False,https://www.alibabacloud.com/help/en/model-studio/models
阿里云通义,Alibaba Qwen,qwen3-coder-flash-2025-07-28,qwen3,chat,997952,65536,False,False,False,https://www.alibabacloud.com/help/en/model-studio/models
阿里云通义,Alibaba Qwen,qwen3-coder-plus,qwen3,chat,997952,65536,False,False,False,https://www.alibabacloud.com/help/en/model-studio/models
阿里云通义,Alibaba Qwen,qwen3-coder-plus-2025-07-22,qwen3,chat,997952,65536,False,False,False,https://www.alibabacloud.com/help/en/model-studio/models
阿里云通义,Alibaba Qwen,qwen3-max,qwen3,chat,258048,65536,False,False,False,https://www.alibabacloud.com/help/en/model-studio/models
阿里云通义,Alibaba Qwen,qwen3-max-2026-01-23,qwen3,chat,258048,65536,False,False,False,https://www.alibabacloud.com/help/en/model-studio/models
阿里云通义,Alibaba Qwen,qwen3-max-preview,qwen3,chat,258048,65536,False,False,False,https://www.alibabacloud.com/help/en/model-studio/models
阿里云通义,Alibaba Qwen,qwen3-next-80b-a3b-instruct,qwen3-next-a3b,chat,262144,65536,True,False,False,https://www.alibabacloud.com/help/en/model-studio/model-pricing
